State Id,Program Title,ServiceCode,ServiceTitle,ActualStartDate,ActualEndDate,CompletionStatus,ServiceProviderName,CourseName,CredentialType 1,CredentialDate 1,CredentialType 2,CredentialDate 2,ExitReason,ExitDate,Q0 -Wages at Exit,EmploymentStartDate,EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,PlacementHourWage,MedicalBenefits,OtherBenefits,TrainRelatedEmp,NonTraditionalEmp,NAICSCode,QTR1A Exit,QTR2A Exit,QTR3A Exit,Year,OfficeName,JobOrderNo.,Q0 -Wages at Exit 
170364,DC Infrastructure Academy,893,Unsubsidized Employment,6/7/2018,6/7/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/7/2018,Hamilton Fish Institute,0,0,Development Assistant,40,18,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
170364,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/7/2018,Hamilton Fish Institute,0,0,Development Assistant,40,18,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
170364,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,9/14/2018,Unsuccessful Completion - Dropped Out,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/7/2018,Hamilton Fish Institute,0,0,Development Assistant,40,18,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
170364,DC Infrastructure Academy,608,1K Opportunities,8/28/2018,9/20/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/7/2018,Hamilton Fish Institute,0,0,Development Assistant,40,18,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
201760,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,0,0,0,2018,0,0.0,0.0
201760,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,0,0,0,2018,0,0.0,0.0
201760,DC Infrastructure Academy,202,Career Guidance / Planning,5/31/2018,5/31/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,0,0,0,2018,0,0.0,0.0
201760,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,8/1/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,10/2/2019,0.0,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,0,0,0,2018,0,0.0,0.0
419634,DC Infrastructure Academy,237,Submission of Local Training Package,3/20/2018,5/17/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,9/18/2019,0.0,7/22/2019,WMATA,Hyattsville,MD,Student Bus Operator,40,12.02,0,0,9,0,485119,0,0,0,2018,0,0.0,0.0
419634,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,9/18/2019,0.0,7/22/2019,WMATA,Hyattsville,MD,Student Bus Operator,40,12.02,0,0,9,0,485119,0,0,0,2018,0,0.0,0.0
419634,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/18/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,9/18/2019,0.0,7/22/2019,WMATA,Hyattsville,MD,Student Bus Operator,40,12.02,0,0,9,0,485119,0,0,0,2018,0,0.0,0.0
97921,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,0,0,0,2018,0,0.0,0.0
97921,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,0,0,0,2018,0,0.0,0.0
97921,DC Infrastructure Academy,115,Resume Preparation Assistance,4/30/2018,4/30/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,0,0,0,2018,0,0.0,0.0
97921,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,10/2/2019,0.0,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,0,0,0,2018,0,0.0,0.0
427010,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,2/5/2020,"Domino's Pizza, LLC",0,0,Delivery Expert,40,11,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
427010,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,2/5/2020,"Domino's Pizza, LLC",0,0,Delivery Expert,40,11,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
427010,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,10/2/2019,0.0,2/5/2020,"Domino's Pizza, LLC",0,0,Delivery Expert,40,11,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
465383,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/7/2018,8/7/2018,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,0,0,0,0,Successful Completion Employed,9/18/2019,0.0,4/5/2019,Lonch Inc,Washington,DC,Associate,40,15,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
465383,DC Infrastructure Academy,608,1K Opportunities,8/14/2018,8/14/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,9/18/2019,0.0,4/5/2019,Lonch Inc,Washington,DC,Associate,40,15,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
288962,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,2/19/2019,0.0,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
288962,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,2/19/2019,0.0,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
288962,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,2/19/2019,0.0,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
288962,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,0,0,0,0,Successful Completion Employed,2/19/2019,0.0,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
288962,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,12/30/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,2/19/2019,0.0,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
285033,DC Infrastructure Academy,102,Initial Assessment,5/7/2018,5/7/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,7/5/2019,0.0,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,0,0,0,2018,0,0.0,0.0
285033,DC Infrastructure Academy,138,Career Counseling,5/7/2018,5/7/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,7/5/2019,0.0,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,0,0,0,2018,0,0.0,0.0
285033,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,0,0,0,0,Successful Completion Employed,7/5/2019,0.0,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,0,0,0,2018,0,0.0,0.0
285033,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,6/25/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,7/5/2019,0.0,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,0,0,0,2018,0,0.0,0.0
285033,DC Infrastructure Academy,101,Orientation,4/30/2018,4/30/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,7/5/2019,0.0,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,0,0,0,2018,0,0.0,0.0
172334,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,9/30/2019,0.0,9/30/2019,Target Corporation,0,0,Small Format Team Member,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
172334,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,9/30/2019,0.0,9/30/2019,Target Corporation,0,0,Small Format Team Member,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
172334,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/27/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,9/30/2019,0.0,9/30/2019,Target Corporation,0,0,Small Format Team Member,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
169774,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,11/5/2018,0.0,11/5/2018,"MV Transportation, Inc",Hyattsville,MD,Ffx Driver,40,14.5,1,1,9,0,485991,0,0,0,2018,0,0.0,0.0
169774,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,11/5/2018,0.0,11/5/2018,"MV Transportation, Inc",Hyattsville,MD,Ffx Driver,40,14.5,1,1,9,0,485991,0,0,0,2018,0,0.0,0.0
169774,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,11/5/2018,0.0,11/5/2018,"MV Transportation, Inc",Hyattsville,MD,Ffx Driver,40,14.5,1,1,9,0,485991,0,0,0,2018,0,0.0,0.0
250835,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/6/2018,Unsuccessful Completion - Failed Drug Test,DC Department of Employment Services,Services to Individuals Seeking Employment,5,9/20/2019,0,0,Successful Completion Employed,5/6/2019,0.0,5/6/2019,"USIC, LLC",Indianapolis,IN,technician,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
250835,DC Infrastructure Academy,102,Initial Assessment,3/20/2018,3/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,9/20/2019,0,0,Successful Completion Employed,5/6/2019,0.0,5/6/2019,"USIC, LLC",Indianapolis,IN,technician,40,14,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
432670,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,4,9/20/2019,5,10/11/2019,Successful Completion Employed,11/24/2019,0.0,11/24/2019,Last Mile Transports,0,0,Delivery Associate,40,17,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
432670,DC Infrastructure Academy,237,Submission of Local Training Package,3/27/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,4,9/20/2019,5,10/11/2019,Successful Completion Employed,11/24/2019,0.0,11/24/2019,Last Mile Transports,0,0,Delivery Associate,40,17,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
432670,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),4,9/20/2019,5,10/11/2019,Successful Completion Employed,11/24/2019,0.0,11/24/2019,Last Mile Transports,0,0,Delivery Associate,40,17,0,0,9,0,0,0,0,0,2018,0,0.0,0.0
97288,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,0,0,5,8/9/2019,0,0,Successful Completion Employed,10/9/2019,0.0,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,0,0,0,2018,0,0.0,0.0
97288,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,8/9/2019,0,0,Successful Completion Employed,10/9/2019,0.0,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,0,0,0,2018,0,0.0,0.0
97288,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,9/28/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),5,8/9/2019,0,0,Successful Completion Employed,10/9/2019,0.0,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,0,0,0,2018,0,0.0,0.0
97288,DC Infrastructure Academy,608,1K Opportunities,7/18/2018,7/18/2018,Successful Completion,0,0,5,8/9/2019,0,0,Successful Completion Employed,10/9/2019,0.0,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,0,0,0,2018,0,0.0,0.0
97288,DC Infrastructure Academy,893,Unsubsidized Employment,9/28/2018,9/28/2018,Successful Completion,0,0,5,8/9/2019,0,0,Successful Completion Employed,10/9/2019,0.0,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,0,0,0,2018,0,0.0,0.0
77693,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/16/2018,7/17/2018,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,0,0,0,0,Successful Completion Employed,9/16/2018,0.0,9/16/2018,Advance Auto Parts,Oxon Hill,MD,Store Driver,40,11.84,0,0,9,0,441310,0,0,0,2018,0,0.0,0.0
77693,DC Infrastructure Academy,608,1K Opportunities,7/16/2018,7/17/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,9/16/2018,0.0,9/16/2018,Advance Auto Parts,Oxon Hill,MD,Store Driver,40,11.84,0,0,9,0,441310,0,0,0,2018,0,0.0,0.0
77693,DC Infrastructure Academy,893,Unsubsidized Employment,9/16/2018,9/16/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,9/16/2018,0.0,9/16/2018,Advance Auto Parts,Oxon Hill,MD,Store Driver,40,11.84,0,0,9,0,441310,0,0,0,2018,0,0.0,0.0
468570,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,installer,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
468570,DC Infrastructure Academy,893,Unsubsidized Employment,5/29/2018,6/26/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,installer,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
468570,DC Infrastructure Academy,893,Unsubsidized Employment,6/26/2018,6/26/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,installer,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
348726,DC Infrastructure Academy,237,Submission of Local Training Package,3/20/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,1/14/2020,0.0,4/15/2019,District Dept. of Transportation (DDOT),0,0, Street Sign Installer,40,16,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
348726,DC Infrastructure Academy,102,Initial Assessment,3/20/2018,3/20/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,1/14/2020,0.0,4/15/2019,District Dept. of Transportation (DDOT),0,0, Street Sign Installer,40,16,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
348726,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/26/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),0,0,0,0,Successful Completion Employed,1/14/2020,0.0,4/15/2019,District Dept. of Transportation (DDOT),0,0, Street Sign Installer,40,16,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
457294,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,11/19/2018,Walmart,0,0,Unskilled Laborer,40,12.3,1,1,9,0,0,0,0,0,2018,0,0.0,0.0
426382,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,6/4/2018,0.0,6/4/2018,Grid Alternatives,Washington,DC,Installer,40,15,1,1,9,0,624410,0,0,0,2018,0,0.0,0.0
426382,DC Infrastructure Academy,893,Unsubsidized Employment,6/26/2018,6/26/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,6/4/2018,0.0,6/4/2018,Grid Alternatives,Washington,DC,Installer,40,15,1,1,9,0,624410,0,0,0,2018,0,0.0,0.0
324183,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,Installer,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
324183,DC Infrastructure Academy,893,Unsubsidized Employment,5/29/2018,6/26/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,Installer,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
472060,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/4/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,Interconnection Specialist,40,26.44,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
472060,DC Infrastructure Academy,893,Unsubsidized Employment,6/4/2018,6/26/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,6/4/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,Interconnection Specialist,40,26.44,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
471632,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,6/26/2018,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,Electrician,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
471632,DC Infrastructure Academy,893,Unsubsidized Employment,6/26/2018,6/26/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,6/26/2018,0.0,5/29/2018,Blue Ocean New Energy dba New Columbia Solar,Washington,DC,Electrician,40,17,1,1,9,0,221114,0,0,0,2018,0,0.0,0.0
471962,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/6/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,7/24/2019,Best Buy,Alexandria,VA,Customer Service Specialist,40,13.6,1,1,9,0,443142,0,0,0,2018,0,0.0,0.0
471783,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/14/2018,5/25/2018,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,0,0,0,0,Successful Completion Employed,10/2/2019,0.0,3/9/2020,Intersolutions Inc,Washington,DC,Porter,40,17,1,1,9,0,999990,0,0,0,2018,0,0.0,0.0
114450,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/3/2019,0.0,10/13/2018,US Postal Service,Washington,DC,City Carrier Assistant 1,40,17.79,0,0,9,0,491110,0,0,0,2018,0,0.0,0.0
114450,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,0,0,0,0,0,0,Successful Completion Employed,10/3/2019,0.0,10/13/2018,US Postal Service,Washington,DC,City Carrier Assistant 1,40,17.79,0,0,9,0,491110,0,0,0,2018,0,0.0,0.0
114450,DC Infrastructure Academy,115,Resume Preparation Assistance,5/15/2018,5/15/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,0,0,0,0,Successful Completion Employed,10/3/2019,0.0,10/13/2018,US Postal Service,Washington,DC,City Carrier Assistant 1,40,17.79,0,0,9,0,491110,0,0,0,2018,0,0.0,0.0
114450,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/16/2018,7/17/2018,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,0,0,0,0,Successful Completion Employed,10/3/2019,0.0,10/13/2018,US Postal Service,Washington,DC,City Carrier Assistant 1,40,17.79,0,0,9,0,491110,0,0,0,2018,0,0.0,0.0
