Institution,Year,AISHE_CODE,UG_cap,PG_cap,UG_M,UG_F,UG_T,PG_M,PG_F,PG_T,TOTAL_M,TOTAL_F,GRAND_TOTAL
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2015,C-13807,500,330,234,165,399,0,0,0,234,165,399
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2016,C-13807,500,330,263,186,449,0,0,0,263,186,449
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2017,C-13807,550,380,279,221,500,0,0,0,279,221,500
 Dr. Ulhas Patil Medical College & Hospital  Jalgaon,2018,C-13807,550,380,274,225,499,0,0,0,274,225,499
 Government Medical College  Aurangabad,2013,C-13824,750,651,139,71,210,0,0,0,139,71,210
 Government Medical College  Aurangabad,2014,C-13824,750,654,109,92,201,0,0,0,109,92,201
 Government Medical College  Aurangabad,2018,C-13824,750,796,321,277,598,135,84,219,468,390,858
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2013,C-13827,0,59,44,27,71,0,0,0,44,27,71
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2014,C-13827,100,163,97,68,165,0,0,0,97,68,165
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2015,C-13827,200,264,105,50,155,0,0,0,105,50,155
 Shri Vasant Rao Naik Govt. Medical College  Yavatmal,2018,C-13827,550,489,343,406,749,46,21,67,389,427,816
 Armed Forces Medical College  Pune,2012,C-13844,700,828,0,0,0,319,0,319,340,0,340
 Armed Forces Medical College  Pune,2013,C-13844,700,831,350,150,500,312,67,379,665,220,885
 Armed Forces Medical College  Pune,2014,C-13844,700,862,350,150,500,351,69,420,703,220,923
 Armed Forces Medical College  Pune,2015,C-13844,700,901,350,150,500,314,68,382,664,218,882
 Armed Forces Medical College  Pune,2016,C-13844,700,937,536,133,669,294,90,384,830,223,1053
 Armed Forces Medical College  Pune,2017,C-13844,700,945,543,124,667,256,77,333,799,201,1000
 Armed Forces Medical College  Pune,2018,C-13844,700,968,0,0,0,287,82,369,287,82,369
 Grant Medical College  Mumbai,2013,C-13853,1000,1020,146,52,198,0,0,0,146,52,198
 Grant Medical College  Mumbai,2014,C-13853,1000,1037,122,86,208,0,0,0,122,86,208
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2013,C-13875,300,180,108,52,160,0,0,0,108,52,160
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2014,C-13875,300,180,129,149,278,0,0,0,129,149,278
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2015,C-13875,300,180,98,131,229,0,0,0,98,131,229
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2016,C-13875,300,180,126,174,300,0,0,0,126,174,300
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2017,C-13875,300,180,127,173,300,0,0,0,127,173,300
 Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital  Thane,2018,C-13875,300,180,139,161,300,0,0,0,139,161,300
 Sri Bhausaheb Hire Government Medical College  Dhule,2013,C-13880,650,350,360,390,750,0,0,0,360,390,750
 Sri Bhausaheb Hire Government Medical College  Dhule,2014,C-13880,550,250,313,337,650,0,0,0,313,337,650
 Sri Bhausaheb Hire Government Medical College  Dhule,2015,C-13880,450,150,290,310,600,0,0,0,290,310,600
 Sri Bhausaheb Hire Government Medical College  Dhule,2018,C-13880,350,250,247,252,499,0,0,0,247,252,499
 Topiwala National Medical College  Mumbai,2012,C-13881,600,709,444,266,710,237,162,399,710,453,1163
 Topiwala National Medical College  Mumbai,2013,C-13881,600,710,354,351,705,270,176,446,652,553,1205
 Topiwala National Medical College  Mumbai,2014,C-13881,600,729,341,353,694,266,172,438,634,551,1185
 Topiwala National Medical College  Mumbai,2015,C-13881,600,750,318,372,690,255,179,434,606,571,1177
 Topiwala National Medical College  Mumbai,2017,C-13881,600,821,326,399,725,275,198,473,626,625,1251
 Topiwala National Medical College  Mumbai,2018,C-13881,600,865,755,0,755,490,0,490,1285,0,1285
 Government Medical College  Nagpur,2012,C-13885,1000,883,424,376,800,178,0,178,644,376,1020
 Government Medical College  Nagpur,2013,C-13885,1000,888,695,305,1000,140,21,161,870,333,1203
 Government Medical College  Nagpur,2014,C-13885,1000,898,588,405,993,121,52,173,747,475,1222
 Government Medical College  Nagpur,2015,C-13885,1000,908,523,502,1025,131,80,211,689,614,1303
 Government Medical College  Nagpur,2016,C-13885,1000,918,538,564,1102,135,86,221,700,672,1372
 Government Medical College  Nagpur,2017,C-13885,1000,961,520,471,991,127,86,213,671,581,1252
 Government Medical College  Nagpur,2018,C-13885,1000,1012,540,563,1103,155,96,251,727,694,1421
 Terna Medical College  Navi Mumbai,2012,C-13892,500,300,249,195,444,0,0,0,249,195,444
 Terna Medical College  Navi Mumbai,2013,C-13892,500,300,248,222,470,0,0,0,248,222,470
 Terna Medical College  Navi Mumbai,2014,C-13892,500,303,230,263,493,0,0,0,230,263,493
 Terna Medical College  Navi Mumbai,2015,C-13892,500,306,183,294,477,0,0,0,183,294,477
 Terna Medical College  Navi Mumbai,2016,C-13892,500,309,227,286,513,0,0,0,227,286,513
 Terna Medical College  Navi Mumbai,2017,C-13892,500,309,239,331,570,0,0,0,239,331,570
 Terna Medical College  Navi Mumbai,2018,C-13892,500,309,200,285,485,0,0,0,200,285,485
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2012,C-13904,500,643,208,165,373,195,102,297,430,287,717
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2013,C-13904,500,648,194,161,355,163,172,335,370,355,725
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2014,C-13904,500,651,182,166,348,163,172,335,345,366,711
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2015,C-13904,500,654,227,200,427,208,184,392,448,399,847
 Lokmanya Tilak Municipal Medical College  Sion  Mumbai,2018,C-13904,550,959,280,220,500,198,206,404,503,454,957
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2012,C-13909,0,37,0,0,0,6,0,6,6,0,6
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2013,C-13909,0,18,0,0,0,12,0,12,12,0,12
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2014,C-13909,0,18,0,0,0,17,1,18,17,1,18
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2015,C-13909,0,18,0,0,0,11,1,12,11,1,12
 ESI-PGIMSR ESI-Hospital Parel Mumbai,2016,C-13909,0,18,0,0,0,5,1,6,5,1,6
 N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital  Nagpur,2013,C-13914,750,619,87,58,145,0,0,0,87,58,145
 N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital  Nagpur,2014,C-13914,750,639,83,72,155,0,0,0,83,72,155
 SRTR Medical College  Ambajogai,2013,C-13930,50,155,52,23,75,0,0,0,52,23,75
 SRTR Medical College  Ambajogai,2014,C-13930,100,205,87,78,165,0,0,0,87,78,165
 SRTR Medical College  Ambajogai,2015,C-13930,150,257,92,58,150,0,0,0,92,58,150
 SRTR Medical College  Ambajogai,2018,C-13930,350,394,244,255,499,42,47,89,286,302,588
 Government Medical College  Akola,2013,C-13931,100,112,309,251,560,0,0,0,309,251,560
 Government Medical College  Akola,2014,C-13931,200,210,280,254,534,0,0,0,280,254,534
 Indira Gandhi Medical College & Hospital  Nagpur,2012,C-13941,0,153,49,51,100,0,0,0,49,51,100
 Indira Gandhi Medical College & Hospital  Nagpur,2013,C-13941,100,253,0,0,0,100,55,155,110,61,171
 Indira Gandhi Medical College & Hospital  Nagpur,2014,C-13941,200,356,0,0,0,96,62,158,107,65,172
 Indira Gandhi Medical College & Hospital  Nagpur,2016,C-13941,400,471,0,0,0,78,64,142,89,69,158
 Indira Gandhi Medical College & Hospital  Nagpur,2017,C-13941,550,553,0,0,0,80,63,143,91,68,159
 Indira Gandhi Medical College & Hospital  Nagpur,2018,C-13941,600,637,0,0,0,108,60,168,117,68,185
 ACPM Medical College  Dhule,2013,C-13964,0,24,239,236,475,0,0,0,239,236,475
 ACPM Medical College  Dhule,2014,C-13964,0,24,254,230,484,0,0,0,254,230,484
 ACPM Medical College  Dhule,2015,C-13964,0,41,334,226,560,0,0,0,334,226,560
 ACPM Medical College  Dhule,2017,C-13964,0,75,0,0,0,0,0,0,0,0,0
 ACPM Medical College  Dhule,2018,C-13964,0,76,274,116,390,42,15,57,319,133,452
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2013,C-13968,100,166,253,247,500,14,9,23,267,256,523
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2014,C-13968,200,276,248,252,500,4,8,12,254,262,516
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2015,C-13968,300,384,257,293,550,13,6,19,270,301,571
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2016,C-13968,400,390,277,311,588,15,7,22,294,322,616
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2017,C-13968,550,440,259,341,600,11,7,18,273,352,625
 Maharashtra Institute of Medical Education & Research  Talegaon Pune,2018,C-13968,550,443,259,341,600,12,4,16,276,351,627
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2012,C-13985,0,87,123,127,250,54,28,82,179,157,336
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2013,C-13985,50,139,120,130,250,57,25,82,179,157,336
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2014,C-13985,100,191,147,153,300,60,20,80,210,174,384
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2015,C-13985,150,247,176,174,350,50,26,76,229,201,430
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2016,C-13985,200,254,202,198,400,43,30,73,249,229,478
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2017,C-13985,300,335,227,223,450,35,36,71,265,261,526
 Dr. Shankarrao Chavan Govt. Medical College  Nanded,2018,C-13985,350,414,255,245,500,61,46,107,318,297,615
 Maharashtra Institute of Medical  Sciences & Research  Latur,2012,C-14002,500,342,284,230,514,0,0,0,284,230,514
 Maharashtra Institute of Medical  Sciences & Research  Latur,2013,C-14002,500,355,284,230,514,0,0,0,284,230,514
 Maharashtra Institute of Medical  Sciences & Research  Latur,2014,C-14002,500,359,258,207,465,0,0,0,258,207,465
 Maharashtra Institute of Medical  Sciences & Research  Latur,2015,C-14002,500,366,284,254,538,0,0,0,284,254,538
 Maharashtra Institute of Medical  Sciences & Research  Latur,2016,C-14002,500,374,248,265,513,0,0,0,248,265,513
 Maharashtra Institute of Medical  Sciences & Research  Latur,2017,C-14002,550,432,264,297,561,0,0,0,264,297,561
 Maharashtra Institute of Medical  Sciences & Research  Latur,2018,C-14002,600,486,302,317,619,0,0,0,302,317,619
 Government Medical College  Latur,2012,C-14007,500,400,181,171,352,41,16,57,236,255,491
 Government Medical College  Latur,2013,C-14007,500,412,242,190,432,59,28,87,309,281,590
 Government Medical College  Latur,2014,C-14007,500,414,215,230,445,61,27,88,288,315,603
 Government Medical College  Latur,2015,C-14007,500,414,275,323,598,63,24,87,356,420,776
 Government Medical College  Latur,2018,C-14007,600,556,0,0,0,0,0,0,0,0,0
 B. J.  Govt. Medical College  Pune,2014,C-14010,1000,927,0,0,0,0,0,0,0,0,0
 ESI-PGIMSR ESI-Hospital Andheri(E) Mumbai,2017,C-14012,0,56,0,0,0,15,15,30,15,15,30
 ESI-PGIMSR ESI-Hospital Andheri(E) Mumbai,2018,C-14012,0,66,0,0,0,16,12,28,16,12,28
 Rajashree Chatrapati Shahu Maharaj Government Medical College  Kolhapur,2013,C-14015,650,400,120,152,272,0,0,0,120,152,272
 Rajashree Chatrapati Shahu Maharaj Government Medical College  Kolhapur,2014,C-14015,650,350,232,266,498,0,0,0,232,266,498
 Rajashree Chatrapati Shahu Maharaj Government Medical College  Kolhapur,2015,C-14015,600,300,267,308,575,0,0,0,267,308,575
 Rajashree Chatrapati Shahu Maharaj Government Medical College  Kolhapur,2016,C-14015,550,300,276,308,584,0,0,0,276,308,584
 Rajashree Chatrapati Shahu Maharaj Government Medical College  Kolhapur,2017,C-14015,550,350,303,343,646,0,0,0,303,343,646
 Rajashree Chatrapati Shahu Maharaj Government Medical College  Kolhapur,2018,C-14015,600,400,336,363,699,0,0,0,336,363,699
 Dr Vaishampayan Memorial Medical College  Solapur,2013,C-14018,750,627,134,46,180,0,0,0,134,46,180
 Dr Vaishampayan Memorial Medical College  Solapur,2014,C-14018,750,627,118,89,207,0,0,0,118,89,207
 Dr Vaishampayan Memorial Medical College  Solapur,2017,C-14018,750,638,419,380,799,68,59,127,498,447,945
 Dr Vaishampayan Memorial Medical College  Solapur,2018,C-14018,750,651,395,354,749,65,64,129,471,423,894
 Government Medical College  Miraj,2012,C-14032,0,123,243,257,500,84,31,115,344,309,653
 Government Medical College  Miraj,2013,C-14032,0,123,228,272,500,78,37,115,321,332,653
 Government Medical College  Miraj,2014,C-14032,100,233,252,297,549,79,34,113,354,352,706
 Government Medical College  Miraj,2015,C-14032,200,343,281,318,599,69,35,104,373,372,745
 Government Medical College  Miraj,2017,C-14032,400,470,346,352,698,52,43,95,410,414,824
 Government Medical College  Miraj,2018,C-14032,550,541,418,391,809,55,57,112,484,472,956
 Mahatma Gandhi Institute of Medical Sciences  Sevagram  Wardha,2012,C-14034,325,357,159,112,271,78,65,143,267,196,463
 Mahatma Gandhi Institute of Medical Sciences  Sevagram  Wardha,2013,C-14034,325,360,172,138,310,83,62,145,283,222,505
 Mahatma Gandhi Institute of Medical Sciences  Sevagram  Wardha,2014,C-14034,325,363,161,165,326,87,61,148,270,241,511
