Programme,Year,Total,SC,ST,OBC,PWD,Muslim,OtherMinorityCommunities,ForeignStudents
M.S.-Master of Surgery,2013,5802,406,226,938,7,70,90,14
PG Diploma-Post Graduate Diploma,2013,6502,578,158,1320,6,90,75,26
Pharm.D.-Doctor of Pharmacy,2013,2793,128,44,551,2,138,334,210
Ph.D.-Doctor of Philosophy,2013,2784,75,17,419,16,110,18,6
Vachaspati-Vachaspati,2013,1424,72,32,188,3,23,24,7
A.N.M.-Auxiliary Nurse & Midwife,2014,8924,1719,886,2834,10,81,305,5
Ayurvedacharya-Ayurvedacharya,2014,14716,971,590,2928,22,174,36,33
Ayurveda Vachaspati-Ph.D in Ayurveda,2014,91,12,2,19,0,0,0,2
B.A.M.-Bachelor of Ayurved Medicine,2014,284,NA,NA,NA,0,0,0,0
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2014,19413,1619,707,4261,43,561,184,10
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2014,1856,122,40,532,10,58,179,45
B.D.S.-Bachelor of Dental Surgery,2014,65470,4534,1277,13566,24,3051,2261,998
B.H.A.-Bachelor of Hospital Administration,2014,1153,9,4,9,0,11,8,7
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2014,33173,2911,1643,8169,18,1844,777,60
B.Nat.(Ayu)-Bachelor of Ayurved in Naturopathy,2014,43,10,10,10,0,0,0,0
B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences,2014,399,48,10,109,0,6,6,3
B.Optom.-Bachelor of Clinical Optometry,2014,2796,114,54,373,1,47,15,100
B.O.T.-Bachelor of Occupational Therapy,2014,1294,155,26,323,3,55,107,23
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2014,10918,1017,437,3085,4,533,41,149
B.Pharm.-Bachelor of Pharmacy,2014,152398,19846,5342,47391,106,9258,3406,2220
B.P.T.-Bachelor of Physiotherapy,2014,27757,2252,721,5237,17,1079,868,458
B.Sc.-Bachelor of Science,2014,15349,2045,510,3854,67,437,849,219
B.Sc.(Nursing)-Bachelor of Science in Nursing,2014,147789,19836,6406,32955,84,1804,12340,955
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2014,2901,133,18,1251,2,54,47,3
B.Sc.(Post Basic)-B.Sc (Post Basic),2014,17280,1090,373,1907,52,250,1864,16
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2014,1535,303,9,1058,0,38,62,2
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2014,4752,23,13,865,2,3217,2,1
Certificate-Certificate,2014,3432,692,165,1135,1,25,42,1
Diploma-Diploma,2014,57835,10446,4114,13781,194,1097,1929,44
D.M.-Doctor of Medicine,2014,789,40,4,154,0,12,14,2
D.Pharma-Diploma in Pharmacy,2014,22989,2280,686,7664,15,1197,195,0
G.N.M.-General Nursing & Midwifery,2014,102229,21416,9253,23986,104,1361,5884,169
Integrated Ph.D-Integrated Doctor of Philosophy,2014,442,20,1,87,0,39,76,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2014,41,0,1,22,0,2,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2014,134476,12080,4138,27379,225,3759,4936,2657
M.Ch.-Master of Chirurgiae,2014,326,2,0,12,0,3,1,1
M.D.-Doctor of Medicine,2014,28183,2175,910,4756,56,591,263,113
M.D.S.-Master of Dental Surgery,2014,8552,299,71,1344,4,286,223,11
M.H.M.S.-Master of Homeopathic Medicine and Science,2014,125,2,0,0,0,4,0,0
M.Optom. -Master of Optometry,2014,335,3,1,9,0,0,0,1
M.O.T. -Master of Occupational Therapy,2014,194,14,1,19,0,15,12,0
M.Pharm. -Master of Pharmacy,2014,33892,3858,1169,9765,16,1469,557,125
M.Phil.-Master of Philosophy,2014,153,7,4,32,0,0,0,0
M.P.H. -Master of Public Health,2014,503,19,6,34,0,3,7,46
M.P.T.-Master of Physiotherapy,2014,3165,182,52,456,5,110,111,70
M.Sc.-Master of Science,2014,2105,163,35,297,1,21,92,33
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2014,372,29,41,60,0,1,3,4
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2014,38,5,0,3,0,0,1,0
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2014,37,4,0,7,0,0,0,0
M.Sc. Nursing-Master of Science in Nursing,2014,8965,682,188,1534,7,84,1034,47
M.S.-Master of Surgery,2014,6062,389,241,907,7,95,90,13
PG Diploma-Post Graduate Diploma,2014,7127,546,203,1197,2,86,39,1
Pharm.D.-Doctor of Pharmacy,2014,5974,312,113,1675,1,358,668,106
Ph.D.-Doctor of Philosophy,2014,3715,133,18,556,3,85,47,22
Vachaspati-Vachaspati,2014,1193,74,24,201,3,22,18,3
A.N.M.-Auxiliary Nurse & Midwife,2015,26993,5630,2251,7241,141,258,681,5
Ayurvedacharya-Ayurvedacharya,2015,14793,1487,813,4180,86,298,80,55
Ayurveda Vachaspati-Ph.D in Ayurveda,2015,78,11,6,20,2,0,0,0
B.A.M.-Bachelor of Ayurved Medicine,2015,435,71,28,159,0,0,0,0
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2015,27356,2687,900,5739,60,819,213,16
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2015,2014,116,39,609,6,137,238,57
B.D.S.-Bachelor of Dental Surgery,2015,80102,5686,1734,18598,68,4170,2380,1060
B.H.A.-Bachelor of Hospital Administration,2015,1348,27,5,39,0,22,18,2
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2015,36007,3199,1711,8853,21,2120,734,84
B.Nat.(Ayu)-Bachelor of Ayurved in Naturopathy,2015,44,13,9,10,0,0,0,0
B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences,2015,1210,188,31,360,0,14,5,4
B.Optom.-Bachelor of Clinical Optometry,2015,3649,157,63,520,18,59,65,69
B.O.T.-Bachelor of Occupational Therapy,2015,1659,222,42,499,4,55,120,31
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2015,11854,1335,646,4103,4,736,54,98
B.Pharm.-Bachelor of Pharmacy,2015,177539,23956,5966,57478,141,12446,3733,2683
B.P.T.-Bachelor of Physiotherapy,2015,33813,3140,1027,7574,62,1585,1388,635
B.Sc.-Bachelor of Science,2015,31645,3587,787,6881,40,807,1463,366
B.Sc.(Nursing)-Bachelor of Science in Nursing,2015,167501,27205,8875,44950,176,2555,13884,1415
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2015,3639,270,69,1602,0,148,18,3
B.Sc.(Post Basic)-B.Sc (Post Basic),2015,14756,1125,377,1998,2,135,1708,48
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2015,1808,341,11,1229,6,63,60,3
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2015,6328,38,3,1448,1,3779,2,1
Certificate-Certificate,2015,4017,638,408,1374,2,49,19,3
Diploma-Diploma,2015,62128,11078,3876,14248,131,1099,1215,60
D.M.-Doctor of Medicine,2015,558,15,1,36,0,3,14,1
D.Pharma-Diploma in Pharmacy,2015,29599,2701,800,9834,35,1616,470,4
G.N.M.-General Nursing & Midwifery,2015,170799,34525,13606,41588,512,2312,7629,165
Integrated Ph.D-Integrated Doctor of Philosophy,2015,326,15,1,76,0,35,0,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2015,26,0,1,13,0,4,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2015,158966,14124,4886,36134,302,5275,6599,2335
M.Ch.-Master of Chirurgiae,2015,256,1,1,15,0,0,4,0
M.D.-Doctor of Medicine,2015,30041,2176,895,4999,71,684,488,81
M.D.S.-Master of Dental Surgery,2015,11564,555,127,1938,4,403,281,7
M.H.M.S.-Master of Homeopathic Medicine and Science,2015,31,1,0,0,0,1,0,0
M.Optom. -Master of Optometry,2015,358,2,0,3,0,1,3,1
M.O.T. -Master of Occupational Therapy,2015,158,15,3,31,0,17,13,1
M.Pharm. -Master of Pharmacy,2015,33506,4387,1365,10058,99,1615,507,154
M.Phil.-Master of Philosophy,2015,138,8,1,13,0,0,0,0
M.P.H. -Master of Public Health,2015,554,50,24,83,1,4,17,75
M.P.T.-Master of Physiotherapy,2015,3405,230,71,538,1,176,110,33
M.Sc.-Master of Science,2015,3842,294,67,547,0,67,71,31
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2015,112,8,2,19,0,1,3,9
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2015,34,3,0,3,0,1,1,8
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2015,57,5,0,8,0,0,8,4
M.Sc. Nursing-Master of Science in Nursing,2015,9368,786,229,1694,8,96,930,58
M.S.-Master of Surgery,2015,7702,535,244,1149,21,88,141,14
PG Diploma-Post Graduate Diploma,2015,6880,475,161,1324,4,94,93,8
Pharm.D.-Doctor of Pharmacy,2015,10437,693,232,3297,20,840,977,254
Ph.D.-Doctor of Philosophy,2015,3196,133,15,578,4,91,47,10
Vachaspati-Vachaspati,2015,1650,125,56,267,4,21,11,7
A.N.M.-Auxiliary Nurse & Midwife,2016,31269,7445,3036,8177,149,255,639,0
Ayurvedacharya-Ayurvedacharya,2016,14821,1646,786,4608,29,376,82,67
Ayurveda Vachaspati-Ph.D in Ayurveda,2016,90,13,5,8,2,0,0,0
B.A.M.-Bachelor of Ayurved Medicine,2016,869,97,18,199,0,15,7,1
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2016,33951,3454,958,7951,47,1017,197,12
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2016,2176,100,30,730,5,164,270,67
B.D.S.-Bachelor of Dental Surgery,2016,85180,5587,1714,19664,43,5084,2716,1289
B.H.A.-Bachelor of Hospital Administration,2016,1596,21,9,72,0,36,22,6
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2016,41673,3680,2019,10278,21,2444,828,3
B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences,2016,1710,221,53,672,0,24,2,2
B.Optom.-Bachelor of Clinical Optometry,2016,3983,204,74,805,2,57,64,176
B.O.T.-Bachelor of Occupational Therapy,2016,2276,269,45,642,5,92,144,22
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2016,11392,1101,573,3676,2,957,83,85
B.Pharm.-Bachelor of Pharmacy,2016,189884,24340,6246,63455,289,13629,4220,2702
B.P.T.-Bachelor of Physiotherapy,2016,39959,3920,1279,9687,28,1997,1885,705
B.Sc.-Bachelor of Science,2016,38539,5008,1328,10064,49,1350,1813,437
B.Sc.(Nursing)-Bachelor of Science in Nursing,2016,182073,30741,9927,50585,447,3267,15301,1551
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2016,1984,61,2,884,0,42,29,0
B.Sc.(Post Basic)-B.Sc (Post Basic),2016,15603,1374,471,2426,0,173,1900,33
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2016,1702,311,8,1172,6,66,63,2
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2016,6563,35,4,1538,2,4014,4,2
Certificate-Certificate,2016,6152,1125,744,1790,33,73,55,6
Diploma-Diploma,2016,61153,10823,3787,15389,55,1078,1207,57
D.M.-Doctor of Medicine,2016,404,8,0,21,0,3,12,2
D.Pharma-Diploma in Pharmacy,2016,32158,3002,850,10829,48,1830,544,2
G.N.M.-General Nursing & Midwifery,2016,178712,37189,15140,45424,603,2462,7758,152
Integrated Ph.D-Integrated Doctor of Philosophy,2016,367,17,1,103,0,33,1,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2016,105,1,0,18,0,2,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2016,176712,16831,5779,42380,311,5726,6836,2081
M.Ch.-Master of Chirurgiae,2016,406,18,4,114,0,1,4,2
M.D.-Doctor of Medicine,2016,36015,2426,1364,5818,81,1427,741,103
M.D.S.-Master of Dental Surgery,2016,12583,687,145,2015,4,515,311,9
M.H.M.S.-Master of Homeopathic Medicine and Science,2016,26,1,0,1,0,1,0,0
M.Optom. -Master of Optometry,2016,340,5,3,25,0,1,3,1
M.O.T. -Master of Occupational Therapy,2016,179,20,5,41,0,12,12,1
M.Pharm. -Master of Pharmacy,2016,31635,4615,1282,9198,28,1574,478,146
M.Phil.-Master of Philosophy,2016,161,9,2,18,0,0,0,1
M.P.H. -Master of Public Health,2016,569,47,35,80,1,19,13,54
M.P.T.-Master of Physiotherapy,2016,3470,250,77,626,2,204,120,41
M.Sc.-Master of Science,2016,4543,345,69,987,1,108,119,52
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2016,65,5,1,14,0,1,1,3
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2016,27,3,1,4,0,2,0,2
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2016,56,6,1,11,0,0,9,3
M.Sc. Nursing-Master of Science in Nursing,2016,8631,871,298,1839,2,140,872,73
M.S.-Master of Surgery,2016,9933,648,436,1444,13,436,237,14
PG Diploma-Post Graduate Diploma,2016,6726,537,194,1444,23,130,158,12
Pharm.D.-Doctor of Pharmacy,2016,13738,1020,381,4651,27,1231,1220,350
Ph.D.-Doctor of Philosophy,2016,3611,153,22,605,7,131,52,24
Vachaspati-Vachaspati,2016,2099,212,65,462,4,24,13,8
A.N.M.-Auxiliary Nurse & Midwife,2017,31688,8460,3631,9397,171,457,817,0
Ayurvedacharya-Ayurvedacharya,2017,17400,1799,873,5497,50,462,222,71
Ayurveda Vachaspati-Ph.D in Ayurveda,2017,118,17,5,19,2,1,0,0
B.A.M.-Bachelor of Ayurved Medicine,2017,1029,91,15,296,0,30,1,0
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2017,34954,3245,1300,10411,46,1281,677,24
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2017,2744,130,39,1014,3,199,339,59
B.D.S.-Bachelor of Dental Surgery,2017,82198,5839,1805,20238,13,5523,2748,1354
B.H.A.-Bachelor of Hospital Administration,2017,2136,37,12,144,0,59,36,2
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2017,43208,3626,2040,11373,53,2677,998,62
B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences,2017,2824,347,64,1203,9,40,8,16
B.Optom.-Bachelor of Clinical Optometry,2017,4930,224,79,902,20,147,93,222
B.O.T.-Bachelor of Occupational Therapy,2017,2778,334,65,651,4,127,152,32
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2017,11742,1223,590,4336,103,846,98,7
B.Pharm.-Bachelor of Pharmacy,2017,193799,23291,6263,66493,232,14289,5145,2404
B.P.T.-Bachelor of Physiotherapy,2017,46992,4174,1405,11571,25,2515,1964,758
B.Sc.-Bachelor of Science,2017,52953,6731,1652,14405,126,1941,2959,521
B.Sc.(Nursing)-Bachelor of Science in Nursing,2017,210969,35980,12443,63294,295,4683,17224,1395
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2017,2415,80,7,1106,2,62,85,0
B.Sc.(Post Basic)-B.Sc (Post Basic),2017,18124,1912,674,3348,1,228,1934,51
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2017,1752,309,7,1246,0,51,43,3
B.U.M.S.-Bachelor of Unani Medicine and Surgery,2017,5704,53,12,1548,5,4433,13,4
Certificate-Certificate,2017,6924,1140,756,1654,4,44,68,1
Diploma-Diploma,2017,58960,9829,3434,15981,110,1767,1302,64
D.M.-Doctor of Medicine,2017,470,2,1,38,0,7,10,2
D.Pharma-Diploma in Pharmacy,2017,40628,3759,1027,14275,79,2355,566,10
G.N.M.-General Nursing & Midwifery,2017,184136,40417,18364,49692,603,3275,9406,100
Integrated Ph.D-Integrated Doctor of Philosophy,2017,528,19,1,106,0,199,154,0
M.A.M.S.-Master of Ayurved in Medicine and Surgery,2017,121,4,0,21,0,3,0,0
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,2017,199981,19125,7393,49961,463,7344,8420,1852
M.Ch.-Master of Chirurgiae,2017,334,6,1,33,0,4,5,1
M.D.-Doctor of Medicine,2017,33944,2601,1219,6564,107,946,693,72
M.D.S.-Master of Dental Surgery,2017,13456,646,161,2194,3,597,460,12
M.H.M.S.-Master of Homeopathic Medicine and Science,2017,49,6,1,8,0,2,0,0
M.Optom. -Master of Optometry,2017,1721,5,7,24,0,4,0,3
M.O.T. -Master of Occupational Therapy,2017,227,23,9,52,0,4,12,4
M.Pharm. -Master of Pharmacy,2017,28599,4390,1188,8903,54,1601,667,169
M.Phil.-Master of Philosophy,2017,281,10,3,37,0,1,2,1
M.P.H. -Master of Public Health,2017,665,44,18,94,0,62,17,93
M.P.T.-Master of Physiotherapy,2017,4356,343,75,843,2,208,144,65
M.Sc.-Master of Science,2017,4419,366,140,854,6,133,228,49
M.Sc.(Medical Anatomy) -Master of Science in Medical Anatomy,2017,124,8,1,43,2,7,2,0
M.Sc.(Medical Pharmacology)-Master of Science in Medical Pharmacology,2017,22,1,1,7,0,0,0,2
M.Sc.(Medical Physiology)-Master of Science in Medical Physiology,2017,85,3,1,18,0,8,0,5
M.Sc. Nursing-Master of Science in Nursing,2017,8727,1013,379,2117,8,150,842,46
M.S.-Master of Surgery,2017,8986,691,302,1644,21,164,230,12
PG Diploma-Post Graduate Diploma,2017,7825,647,278,1667,11,170,156,9
Pharm.D.-Doctor of Pharmacy,2017,18159,1504,429,6527,29,1837,1849,548
Ph.D.-Doctor of Philosophy,2017,4897,268,52,784,2,165,111,11
Vachaspati-Vachaspati,2017,2455,312,72,592,3,22,25,7
A.N.M.-Auxiliary Nurse & Midwife,2018,37946,11173,4859,11408,184,510,1024,0
Ayurvedacharya-Ayurvedacharya,2018,20940,2018,1120,6941,57,584,202,106
Ayurveda Vachaspati-Ph.D in Ayurveda,2018,99,10,5,12,0,0,0,0
B.A.M.-Bachelor of Ayurved Medicine,2018,1961,158,89,682,1,64,11,0
B.A.M.S.-Bachelor of Ayurved Medicine & Surgery,2018,40479,3758,1488,12551,68,1648,1000,38
B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology,2018,2830,127,47,1220,3,261,394,53
B.D.S.-Bachelor of Dental Surgery,2018,89705,6812,2017,24248,31,6032,3873,868
B.H.A.-Bachelor of Hospital Administration,2018,2695,64,7,203,0,81,42,5
B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery,2018,47850,4228,2261,13481,21,3440,1048,53
B.N.Y.S.-Bachelor of Naturopathy and Yogic Sciences,2018,3085,416,121,1629,0,66,8,16
B.Optom.-Bachelor of Clinical Optometry,2018,5751,355,122,1463,4,355,95,299
B.O.T.-Bachelor of Occupational Therapy,2018,3231,351,65,787,2,147,117,12
B.Pharm.(Ayu.) -Bachelor of Ayurved in Pharmacy,2018,12736,1296,435,4875,2,923,194,11
B.Pharm.-Bachelor of Pharmacy,2018,212775,24292,6393,75560,226,16932,5242,2515
B.P.T.-Bachelor of Physiotherapy,2018,55842,5220,1755,15308,203,3261,2858,745
B.Sc.-Bachelor of Science,2018,56530,7577,2081,17635,19,4020,3437,611
B.Sc.(Nursing)-Bachelor of Science in Nursing,2018,226675,39125,14320,70550,382,5704,17989,1239
B.S.Course-Bachelor of Science (Physician Assistant and Emergency & Trauma Care Management),2018,2633,107,8,1076,10,93,132,0
B.Sc.(Post Basic)-B.Sc (Post Basic),2018,19457,2375,849,3608,79,324,1681,40
B.S.M.S.-Bachelor of Sridhar Medicine and Surgery,2018,1855,285,6,1379,0,91,75,0
