State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit ,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
506862,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
507803,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,7/7/2021,Unsuccessful Completion - Failed to Report,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
391406,DC Infrastructure Academy,893,Unsubsidized Employment,11/30/2020,11/30/2020,Successful Completion,,,5,9/30/2020,Successful Completion Employed,12/1/2020,,12/1/2020,Utility Lines Construction,Bridgeville,DE,1st Level Apprentice,40,18,1,1,9,0,238210,,,
172658,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,8/16/2019,,,,                              ,,,,,,,,,,,,,,
172658,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,5,8/16/2019,,,,                              ,,,,,,,,,,,,,,
11424,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,5,8/9/2019,,,,                              ,,,,,,,,,,,,,,
113787,DC Infrastructure Academy,893,Unsubsidized Employment,10/5/2020,10/5/2020,Successful Completion,,,5,9/30/2020,Successful Completion Employed,10/23/2020,,10/5/2020,UPS Store,Washington,DC,Package Driver,40,21,1,1,9,0,541860,,,
291914,DC Infrastructure Academy,893,Unsubsidized Employment,11/30/2020,12/8/2020,Successful Completion,,,5,12/20/2019,Successful Completion Employed,11/30/2020,,11/30/2020,Dynamic Concepts Inc.,Washington,DC,Construction Laborer,40,19,1,1,9,0,541618,,,
59099,DC Infrastructure Academy,104,Workshops,7/16/2021,7/16/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
59099,DC Infrastructure Academy,220,Job Readiness Training,7/5/2021,7/16/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
59099,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/27/2021,7/2/2021,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
325622,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
325622,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
514440,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
514440,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
508582,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
508582,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),12/3/2020,2/22/2021,Unsuccessful Completion - Failed to Report,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
255313,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
514733,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
514733,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
432079,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
432079,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
16079,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,12/2/2020,Unsuccessful Completion - Dropped Out,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
226336,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
226336,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
341415,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
341415,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
459182,DC Infrastructure Academy,220,Job Readiness Training,3/16/2021,3/30/2021,Unsuccessful Completion - Failed to Report,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
459182,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
4991,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
4991,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
474278,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
515351,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
204990,DC Infrastructure Academy,226,Reading and/or Math Testing,11/5/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
363680,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
363680,DC Infrastructure Academy,220,Job Readiness Training,3/16/2021,3/17/2021,Unsuccessful Completion - Failed to Report,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
363680,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),12/3/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
27641,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
27641,DC Infrastructure Academy,101,Orientation,12/18/2020,12/18/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
27641,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
27641,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
27641,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
27641,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,7/8/2021,Unsuccessful Completion - Dropped Out,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
468376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,2/19/2021,Unsuccessful Completion - Dropped Out,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
342786,DC Infrastructure Academy,101,Orientation,11/3/2020,11/3/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
342786,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
342786,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
515782,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
515782,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
40535,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,12/1/2020,Unsuccessful Completion - Dropped Out,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
205574,DC Infrastructure Academy,893,Unsubsidized Employment,8/3/2020,NA,,,,,,,,,                              ,,,,,,,,,,,,,,
93304,DC Infrastructure Academy,226,Reading and/or Math Testing,11/5/2020,11/5/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
144504,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
144504,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
246307,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
246307,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
64006,DC Infrastructure Academy,220,Job Readiness Training,1/4/2021,1/15/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
64006,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
514342,DC Infrastructure Academy,893,Unsubsidized Employment,11/30/2020,11/30/2020,Successful Completion,,,5,9/30/2020,Successful Completion Employed,11/30/2020,,11/30/2020,Dynamic Concepts Inc.,Washington,DC,Construction Laborer,40,18,1,1,9,0,541618,,,
516766,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/25/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,Successful Completion Employed,4/30/2021,,5/3/2021,Fema,Washington,DC,IT Contractor,40,20.84,1,1,1,0,624190,,,
516766,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/4/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,Successful Completion Employed,4/30/2021,,5/3/2021,Fema,Washington,DC,IT Contractor,40,20.84,1,1,1,0,624190,,,
516766,DC Infrastructure Academy,893,Unsubsidized Employment,4/30/2021,4/30/2021,Successful Completion,,,,,Successful Completion Employed,4/30/2021,,5/3/2021,Fema,Washington,DC,IT Contractor,40,20.84,1,1,1,0,624190,,,
112811,DC Infrastructure Academy,893,Unsubsidized Employment,12/1/2020,12/1/2020,Successful Completion,,,5,9/30/2020,Successful Completion Employed,12/1/2020,,12/1/2020,Utility Lines Construction,Bridgeville,DE,1st Level Apprentice,40,18,1,1,9,0,238210,,,
264595,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
264595,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
50096,DC Infrastructure Academy,101,Orientation,12/18/2020,12/18/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
1565,DC Infrastructure Academy,226,Reading and/or Math Testing,11/5/2020,11/5/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
180822,DC Infrastructure Academy,893,Unsubsidized Employment,11/30/2020,11/30/2020,Successful Completion,,,5,9/30/2020,Successful Completion Employed,11/30/2020,,11/30/2020,Pepco Holdings Inc,Washington,DC,Substation Helper NERC,40,23.34,1,1,9,0,551112,,,
517175,DC Infrastructure Academy,226,Reading and/or Math Testing,11/5/2020,11/5/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
517175,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
145059,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
145059,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
145059,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
145059,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,7/7/2021,Unsuccessful Completion - Did Not Meet Requirement,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
518681,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
518681,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/30/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
47422,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
436255,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
436255,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
413731,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,12/3/2020,Unsuccessful Completion - Dropped Out,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
413731,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),12/2/2020,1/22/2021,Unsuccessful Completion - Dropped Out,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
519096,DC Infrastructure Academy,226,Reading and/or Math Testing,11/6/2020,11/6/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
519096,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
519096,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),12/3/2020,3/12/2021,Successful Completion,CC Prep - MLK,Help Desk IT Training,,,,,,                              ,,,,,,,,,,,,,,
181263,DC Infrastructure Academy,893,Unsubsidized Employment,10/5/2020,10/5/2020,Successful Completion,,,5,9/4/2020,Successful Completion Employed,10/5/2020,,10/5/2020,"MALILL, LLC",Elkridge,MD,Skilled Laborer,40,21,1,1,9,0,236210,,,
462004,DC Infrastructure Academy,101,Orientation,12/7/2020,12/7/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,6/17/2020,,,,                              ,,,,,,,,,,,,,,
462004,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,6/17/2020,,,,                              ,,,,,,,,,,,,,,
462004,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,6/17/2020,,,,                              ,,,,,,,,,,,,,,
462004,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,6/17/2020,,,,                              ,,,,,,,,,,,,,,
462004,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,6/17/2020,,,,                              ,,,,,,,,,,,,,,
59161,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
59161,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
142829,DC Infrastructure Academy,101,Orientation,12/4/2020,12/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
142829,DC Infrastructure Academy,226,Reading and/or Math Testing,11/4/2020,11/4/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
519379,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/18/2021,Unsuccessful Completion - Dropped Out,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
519379,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/26/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
519379,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,4/30/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
467057,DC Infrastructure Academy,104,Workshops,4/19/2021,4/19/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
467057,DC Infrastructure Academy,220,Job Readiness Training,3/18/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
467057,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
467057,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/4/2021,5/4/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,,,,                              ,,,,,,,,,,,,,,
467057,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/5/2021,5/6/2021,Successful Completion,The Training Zone of the DMV,OSHA 30,,,,,,                              ,,,,,,,,,,,,,,
467057,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/29/2021,6/18/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
519676,DC Infrastructure Academy,220,Job Readiness Training,10/19/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,9/4/2020,,,,                              ,,,,,,,,,,,,,,
519676,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/29/2021,1/29/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,9/4/2020,,,,                              ,,,,,,,,,,,,,,
342478,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),11/16/2020,1/22/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
342478,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,10/30/2020,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
519875,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,1/27/2021,Unsuccessful Completion - Dropped Out,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
30796,DC Infrastructure Academy,220,Job Readiness Training,10/21/2020,1/27/2021,Unsuccessful Completion - Dropped Out,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
152306,DC Infrastructure Academy,101,Orientation,12/21/2020,12/21/2020,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,1,0,221122,,,
