State Id,OfficeName,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
229932,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/8/2019,8/9/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/9/2019,Successful Completion Employed,10/2/2019,,10/2/2019,Prospect Waterproofing Co,Washington,DC,Helper,40,16,0,0,9,0,238160,,,
182594,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/6/2019,6/7/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/7/2019,Successful Completion Employed,8/28/2019,,8/28/2019,Labor Max Staffing,,,Flagger,40,11.5,1,1,9,0,,,,
203759,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/28/2019,9/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/20/2019,Successful Completion Employed,1/15/2020,,12/9/2019,"Truly Solar, Inc.",Upper Marlboro,MD,Energy Consultant,40,17,1,1,9,0,,,,
100147,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/24/2019,9/25/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
57250,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,,,,                              ,,,,,,,,,,,,,,
466867,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,Successful Completion Employed,12/5/2019,,11/7/2019,Arlington County Government,Arlington,VA,Driver,40,15.5,0,0,9,0,921120,,,
485258,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/27/2019,6/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,,,,                              ,,,,,,,,,,,,,,
170365,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/24/2019,8/2/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,5/31/2019,,,,                              ,,,,,,,,,,,,,,
228414,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/28/2019,3/29/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/29/2019,Successful Completion Employed,6/12/2019,,6/12/2019,TPM Group LLC,Washington,DC,mover/installer,40,15,1,1,9,0,236220,,,
273253,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/6/2019,7/26/2019,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,7/26/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
95553,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/1/2019,10/11/2019,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,4,9/10/2019,,,,                              ,,,,,,,,,,,,,,
304358,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
416985,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,7/12/2019,Successful Completion Employed,8/15/2019,,8/13/2019,Positive Construction Solutions,Lusby,MD,Flagger,40,13,0,0,9,0,,,,
180256,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/5/2019,5/24/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,3/8/2019,Successful Completion Employed,8/1/2019,,7/1/2019,New Columbia Solar,Washington,DC,Solar Installer,40,18,0,0,9,0,423720,,,
469075,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/28/2019,3/1/2019,Unsuccessful Completion - Dropped Out,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,Unknown Status,8/31/2020,,                              ,,,,,,,,,,,,,,
