State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Credential
Type 2","Credential
Date 2","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
70190,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,10/24/2019,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
70190,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,10/24/2019,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
70190,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,10/24/2019,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
70190,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/16/2018,7/17/2018,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,10/24/2019,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
70190,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,10/24/2019,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
70190,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,7/17/2018,Successful Completion,,,5,10/24/2019,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
47633,DC Infrastructure Academy,125,Staff-Assisted Job Search,5/3/2018,5/3/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
47633,DC Infrastructure Academy,138,Career Counseling,4/30/2018,4/30/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
47633,DC Infrastructure Academy,237,Submission of Local Training Package,6/15/2018,8/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
438727,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/3/2019,,11/3/2018,Bath & Bodyworks,,,Seasonal Associate,40,14,1,1,9,0,,,,
438727,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/3/2019,,11/3/2018,Bath & Bodyworks,,,Seasonal Associate,40,14,1,1,9,0,,,,
438727,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/26/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,",",Successful Completion Employed,10/3/2019,,11/3/2018,Bath & Bodyworks,,,Seasonal Associate,40,14,1,1,9,0,,,,
170364,DC Infrastructure Academy,237,Submission of Local Training Package,3/20/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,6/7/2018,Hamilton Fish Institute,,,Development Assistant,40,18,0,0,9,0,,,,
170364,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),8/28/2018,9/20/2018,Successful Completion,ITC Technologies LLC,Help Desk IT Training,,,,,Successful Completion Employed,10/2/2019,,6/7/2018,Hamilton Fish Institute,,,Development Assistant,40,18,0,0,9,0,,,,
170364,DC Infrastructure Academy,893,Unsubsidized Employment,6/7/2018,6/7/2018,Successful Completion,,,,,,,Successful Completion Employed,10/2/2019,,6/7/2018,Hamilton Fish Institute,,,Development Assistant,40,18,0,0,9,0,,,,
170364,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,6/7/2018,Hamilton Fish Institute,,,Development Assistant,40,18,0,0,9,0,,,,
170364,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,9/14/2018,Unsuccessful Completion - Dropped Out,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,10/2/2019,,6/7/2018,Hamilton Fish Institute,,,Development Assistant,40,18,0,0,9,0,,,,
170364,DC Infrastructure Academy,608,1K Opportunities,8/28/2018,9/20/2018,Successful Completion,,,,,,,Successful Completion Employed,10/2/2019,,6/7/2018,Hamilton Fish Institute,,,Development Assistant,40,18,0,0,9,0,,,,
201760,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,,,,,,,Successful Completion Employed,10/2/2019,,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,,,
201760,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,,,
201760,DC Infrastructure Academy,202,Career Guidance / Planning,5/31/2018,5/31/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,,,
201760,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,8/1/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,10/2/2019,,10/15/2018,Department of Public Works,Washington,DC,Motor Vehicle Operator,40,21.14,1,1,9,0,813312,,,
251977,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
251977,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
251977,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
96393,DC Infrastructure Academy,101,Orientation,7/25/2018,7/25/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,,,                              ,,,,,,,,,,,,,,
419634,DC Infrastructure Academy,237,Submission of Local Training Package,3/20/2018,5/17/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,9/18/2019,,7/22/2019,WMATA,Hyattsville,MD,Student Bus Operator,40,12.02,0,0,9,0,485119,,,
419634,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,9/18/2019,,7/22/2019,WMATA,Hyattsville,MD,Student Bus Operator,40,12.02,0,0,9,0,485119,,,
419634,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/18/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,9/18/2019,,7/22/2019,WMATA,Hyattsville,MD,Student Bus Operator,40,12.02,0,0,9,0,485119,,,
97921,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,,,
97921,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,,,
97921,DC Infrastructure Academy,115,Resume Preparation Assistance,4/30/2018,4/30/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,,,
97921,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,10/2/2019,,9/13/2018,Whole Foods Market,Washington,DC,Cook,20,14.5,0,0,9,0,445110,,,
427010,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,2/5/2020,"Domino's Pizza, LLC",,,Delivery Expert,40,11,1,1,9,0,,,,
427010,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,10/2/2019,,2/5/2020,"Domino's Pizza, LLC",,,Delivery Expert,40,11,1,1,9,0,,,,
427010,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,10/2/2019,,2/5/2020,"Domino's Pizza, LLC",,,Delivery Expert,40,11,1,1,9,0,,,,
465383,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/7/2018,8/7/2018,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,,,Successful Completion Employed,9/18/2019,,4/5/2019,Lonch Inc,Washington,DC,Associate,40,15,1,1,9,0,,,,
465383,DC Infrastructure Academy,608,1K Opportunities,8/14/2018,8/14/2018,Successful Completion,,,,,,,Successful Completion Employed,9/18/2019,,4/5/2019,Lonch Inc,Washington,DC,Associate,40,15,1,1,9,0,,,,
288962,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,2/19/2019,,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,,,,
288962,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,2/19/2019,,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,,,,
288962,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,2/19/2019,,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,,,,
288962,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,Successful Completion Employed,2/19/2019,,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,,,,
288962,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,12/30/2018,Successful Completion,,,,,,,Successful Completion Employed,2/19/2019,,2/19/2019,Avalon Bay Communities,Virginia Beach,VA,MAINTENANCE TECH II,40,19.1,1,1,9,0,,,,
10559,DC Infrastructure Academy,102,Initial Assessment,4/3/2018,4/3/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
10559,DC Infrastructure Academy,237,Submission of Local Training Package,4/5/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
10559,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
285033,DC Infrastructure Academy,102,Initial Assessment,5/7/2018,5/7/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,7/5/2019,,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,,,
285033,DC Infrastructure Academy,138,Career Counseling,5/7/2018,5/7/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,7/5/2019,,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,,,
285033,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,Successful Completion Employed,7/5/2019,,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,,,
285033,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,6/25/2018,Successful Completion,,,,,,,Successful Completion Employed,7/5/2019,,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,,,
285033,DC Infrastructure Academy,101,Orientation,4/30/2018,4/30/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,7/5/2019,,7/5/2019,Transdev,Hyattsville,MD,driver in training,40,16,1,1,9,0,488210,,,
252782,DC Infrastructure Academy,101,Orientation,6/11/2018,6/11/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
252782,DC Infrastructure Academy,102,Initial Assessment,6/11/2018,6/11/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
252782,DC Infrastructure Academy,138,Career Counseling,6/11/2018,6/11/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
252782,DC Infrastructure Academy,237,Submission of Local Training Package,6/11/2018,7/31/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/3/2019,,                              ,,,,,,,,,,,,,,
271183,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/13/2020,,                              ,,,,,,,,,,,,,,
271183,DC Infrastructure Academy,102,Initial Assessment,3/27/2018,3/27/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/13/2020,,                              ,,,,,,,,,,,,,,
271183,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/13/2020,,                              ,,,,,,,,,,,,,,
271183,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,11/1/2018,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,Unknown Status,4/13/2020,,                              ,,,,,,,,,,,,,,
271183,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,12/30/2018,Successful Completion,,,,,,,Unknown Status,4/13/2020,,                              ,,,,,,,,,,,,,,
172334,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,9/30/2019,,9/30/2019,Target Corporation,,,Small Format Team Member,40,14,1,1,9,0,,,,
172334,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,9/30/2019,,9/30/2019,Target Corporation,,,Small Format Team Member,40,14,1,1,9,0,,,,
172334,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/27/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,9/30/2019,,9/30/2019,Target Corporation,,,Small Format Team Member,40,14,1,1,9,0,,,,
169774,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Successful Completion Employed,11/5/2018,,11/5/2018,"MV Transportation, Inc",Hyattsville,MD,Ffx Driver,40,14.5,1,1,9,0,485991,,,
169774,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,,,,,,,Successful Completion Employed,11/5/2018,,11/5/2018,"MV Transportation, Inc",Hyattsville,MD,Ffx Driver,40,14.5,1,1,9,0,485991,,,
169774,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Successful Completion Employed,11/5/2018,,11/5/2018,"MV Transportation, Inc",Hyattsville,MD,Ffx Driver,40,14.5,1,1,9,0,485991,,,
222005,DC Infrastructure Academy,102,Initial Assessment,3/23/2018,3/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,9/16/2019,,                              ,,,,,,,,,,,,,,
222005,DC Infrastructure Academy,138,Career Counseling,3/23/2018,3/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,9/16/2019,,                              ,,,,,,,,,,,,,,
83376,DC Infrastructure Academy,102,Initial Assessment,3/28/2018,3/28/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
83376,DC Infrastructure Academy,202,Career Guidance / Planning,6/11/2018,6/11/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
60400,DC Infrastructure Academy,102,Initial Assessment,3/28/2018,3/28/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/13/2020,,                              ,,,,,,,,,,,,,,
23170,DC Infrastructure Academy,102,Initial Assessment,3/29/2018,3/29/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,11/25/2019,,                              ,,,,,,,,,,,,,,
186759,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
186759,DC Infrastructure Academy,102,Initial Assessment,3/27/2018,3/27/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
186759,DC Infrastructure Academy,138,Career Counseling,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
186759,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/18/2018,9/15/2018,Unsuccessful Completion - Did Not Meet Requirement,University of the District of Columbia (UDC),Quick Path to Energy,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
186759,DC Infrastructure Academy,608,1K Opportunities,6/25/2018,9/27/2018,Unsuccessful Completion - Did Not Meet Requirement,,,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
250835,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/6/2018,Unsuccessful Completion - Failed Drug Test,DC Department of Employment Services,Services to Individuals Seeking Employment,5,9/20/2019,,,Successful Completion Employed,5/6/2019,,5/6/2019,"USIC, LLC",Indianapolis,IN,technician,40,14,1,1,9,0,,,,
250835,DC Infrastructure Academy,102,Initial Assessment,3/20/2018,3/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,9/20/2019,,,Successful Completion Employed,5/6/2019,,5/6/2019,"USIC, LLC",Indianapolis,IN,technician,40,14,1,1,9,0,,,,
432670,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,4,9/20/2019,5,10/11/2019,Successful Completion Employed,11/24/2019,,11/24/2019,Last Mile Transports,,,Delivery Associate,40,17,0,0,9,0,,,,
432670,DC Infrastructure Academy,237,Submission of Local Training Package,3/27/2018,4/23/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,4,9/20/2019,5,10/11/2019,Successful Completion Employed,11/24/2019,,11/24/2019,Last Mile Transports,,,Delivery Associate,40,17,0,0,9,0,,,,
432670,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,4/26/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),4,9/20/2019,5,10/11/2019,Successful Completion Employed,11/24/2019,,11/24/2019,Last Mile Transports,,,Delivery Associate,40,17,0,0,9,0,,,,
97288,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,4/23/2018,Successful Completion,,,5,8/9/2019,,,Successful Completion Employed,10/9/2019,,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,,,
97288,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,8/9/2019,,,Successful Completion Employed,10/9/2019,,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,,,
97288,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/23/2018,9/28/2018,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),5,8/9/2019,,,Successful Completion Employed,10/9/2019,,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,,,
97288,DC Infrastructure Academy,608,1K Opportunities,7/18/2018,7/18/2018,Successful Completion,,,5,8/9/2019,,,Successful Completion Employed,10/9/2019,,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,,,
97288,DC Infrastructure Academy,893,Unsubsidized Employment,9/28/2018,9/28/2018,Successful Completion,,,5,8/9/2019,,,Successful Completion Employed,10/9/2019,,4/1/2018,Connally Contracting Corporation,Washington,DC,Laborer,40,17,0,0,9,0,236220,,,
362246,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,5/17/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/2/2019,,                              ,,,,,,,,,,,,,,
362246,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,10/2/2019,,                              ,,,,,,,,,,,,,,
362246,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/18/2018,3/26/2019,Successful Completion,Department of Public Works,Quick Path to Transportation (CDL),,,,,Unknown Status,10/2/2019,,                              ,,,,,,,,,,,,,,
179723,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,,,                              ,,,,,,,,,,,,,,
51828,DC Infrastructure Academy,237,Submission of Local Training Package,3/19/2018,4/12/2018,Unsuccessful Completion - Failed Drug Test,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
51828,DC Infrastructure Academy,102,Initial Assessment,3/19/2018,3/19/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
301170,DC Infrastructure Academy,237,Submission of Local Training Package,3/22/2018,5/3/2018,Unsuccessful Completion - Failed to Report,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
301170,DC Infrastructure Academy,102,Initial Assessment,3/22/2018,3/22/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,Unknown Status,4/17/2020,,                              ,,,,,,,,,,,,,,
70735,DC Infrastructure Academy,101,Orientation,6/18/2018,6/18/2018,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,,,                              ,,,,,,,,,,,,,,
